Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2015-12-18 19:50:56,Running,,11.32,56:02,4:57,12.11,938.0,267,,,2015-12-18-1950.gpx
2015-12-14 20:55:55,Running,,6.57,30:16,4:36,13.02,525.158707843137,0,,,
2015-12-08 21:36:18,Running,,4.50,22:35,5:01,11.96,356.092587246193,0,,,
2015-12-08 21:35:36,Rowing,,4.00,17:00,4:15,14.12,218.290277777778,0,,,
2015-12-03 20:06:16,Running,,15.29,1:15:50,4:58,12.10,1249.0,317,,"Bonne sortie ",2015-12-03-2006.gpx
2015-11-30 20:40:47,Running,,3.01,15:09,5:02,11.92,237.93107857445,0,,,
2015-11-29 14:29:29,Running,,10.13,49:55,4:56,12.18,754.0,98,,,2015-11-29-1429.gpx
2015-11-28 14:17:18,Running,,4.50,22:39,5:02,11.92,355.708040291878,0,,,
2015-11-25 19:39:23,Running,,14.15,1:08:36,4:51,12.37,1160.0,314,,,2015-11-25-1939.gpx
2015-11-19 19:54:50,Running,,16.32,1:22:36,5:04,11.85,1323.0,342,,"#Run #Paris #TourEiffel #BleuBlancRouge",2015-11-19-1954.gpx
2015-11-15 13:14:20,Running,,12.08,57:31,4:46,12.60,897.0,109,,"Ne pas vivre dans la peur de sortir #running #Paris #couleeverte #PrayForParis",2015-11-15-1314.gpx
2015-11-13 19:08:54,Running,,9.76,46:10,4:44,12.67,753.0,128,,,2015-11-13-1908.gpx
2015-11-10 19:55:41,Running,,12.57,59:48,4:46,12.60,1027.0,280,,,2015-11-10-1955.gpx
2015-11-08 18:03:57,Running,,7.52,53:52,7:10,8.37,559.0,41,,,2015-11-08-1803.gpx
2015-11-04 20:01:11,Running,,12.38,1:03:16,5:07,11.74,961.0,107,,,2015-11-04-2001.gpx
2015-10-27 20:23:43,Running,,9.82,47:41,4:51,12.36,756.0,53,,,2015-10-27-2023.gpx
2015-10-25 11:13:34,Running,,13.07,1:25:05,6:31,9.21,1004.0,107,,,2015-10-25-1113.gpx
2015-10-11 13:38:15,Running,,10.30,51:14,4:59,12.06,821.0,163,,,2015-10-11-1338.gpx
2015-10-08 20:13:12,Running,,9.01,42:20,4:42,12.77,717.0,160,,,2015-10-08-2013.gpx
2015-10-03 11:36:43,Running,,12.83,1:03:14,4:56,12.18,1035.0,280,,,2015-10-03-1136.gpx
2015-09-28 20:06:17,Running,,16.97,1:01:11,3:36,16.64,908.0,115,,"Gps qui débloque complètement ",2015-09-28-2006.gpx
2015-09-23 20:02:09,Running,,10.26,49:20,4:48,12.48,800.0,145,,,2015-09-23-2002.gpx
2015-09-17 20:12:19,Running,,11.55,52:15,4:32,13.26,873.0,168,,,2015-09-17-2012.gpx
2015-09-13 14:48:13,Running,,13.09,1:05:36,5:01,11.97,1075.0,286,,,2015-09-13-1448.gpx
2015-09-10 20:00:21,Running,,12.28,59:15,4:49,12.44,992.0,234,,,2015-09-10-2000.gpx
